id,source_string,original_EN,translated_FR,translated_ZH
DMS-41,en,Always be proud of yourself and how hard you are trying because I am proud of you,"Sois toujours fier de toi et des efforts que tu fais, car je suis fier de toi.",总是为自己和你的努力感到骄傲，因为我为你感到骄傲。
DMS-42,en,Every day may not be good. I know it may be hard but try to find some good things in every day.,"Tous les jours ne sont pas forcément bons. Je sais que c'est difficile, mais essayez de trouver de bonnes choses dans chaque jour.",每一天都不一定是好的。我知道这可能很难，但要努力在每一天中找到一些好的东西。
DMS-43,en,There are so many beautiful people in this world. Never forget that you are one of them.,Il y a tellement de belles personnes dans ce monde. N'oubliez jamais que vous êtes l'une d'entre elles.,在这个世界上有这么多美丽的人。永远不要忘记，你是他们中的一员。
DMS-44,en,"No matter what you are going through, never forget that you are not alone.","Peu importe ce que vous traversez, n'oubliez jamais que vous n'êtes pas seul.",无论你正在经历什么，永远不要忘记，你并不孤单。
DMS-45,en,"When you can’t find the sunshine, be the sunshine. You are the light in other people’s lives.","Quand vous ne pouvez pas trouver le soleil, soyez le soleil. Vous êtes la lumière dans la vie des autres.",当你找不到阳光的时候，就做阳光。你是别人生命中的光。
DMS-46,en,You’re braver than you believe and stronger than you seem and smarter than you think.,"Vous êtes plus courageux que vous ne le croyez, plus fort qu'il n'y paraît et plus intelligent que vous ne le pensez.",你比你相信的更勇敢，比你看起来更强大，比你想象的更聪明。
DMS-47,en,"Whenever you are going through a tough time reach out to people, because there are so many people that care about you. I care about you.","Lorsque vous traversez une période difficile, tendez la main aux gens, car il y a tellement de personnes qui se soucient de vous. Je me soucie de toi.",每当你经历困难的时候都要向人们伸出援手，因为有这么多人关心你。我关心你。
DMS-48,en,"Celebrate every win, no matter how small. Remember your triumphs because the memory of them will sustain you in hard times.","Célébrez chaque victoire, aussi petite soit-elle. Souvenez-vous de vos triomphes, car leur souvenir vous soutiendra dans les moments difficiles.",庆祝每一次胜利，无论多么微小。记住你的胜利，因为对它们的记忆将在困难时期支撑你。
DMS-49,en,"When it rains, look for a rainbow. When its dark, look for stars.","Quand il pleut, cherche un arc-en-ciel. Quand il fait sombre, cherche des étoiles.",下雨的时候，寻找彩虹。当天黑的时候，寻找星星。
DMS-50,en,"Imagine how you will feel when you come through this time much stronger, wiser and more confident.","Imaginez ce que vous ressentirez lorsque vous sortirez de cette période beaucoup plus fort, plus sage et plus confiant.",想象一下，当你度过这段时间后，会有怎样的感觉，你会更强大、更明智、更自信。
DMS-51,en,You are capable of amazing things,Vous êtes capable de choses étonnantes,你有能力做出惊人的事情
DMS-52,en,You ARE resilient and CAN get through anything,Vous êtes résilient et vous pouvez tout surmonter.,你是有弹性的，可以通过任何事情。
DMS-53,en,"No one is you, and that is your superpower.","Personne n'est vous, et c'est votre super pouvoir.",没有人是你，这就是你的超能力。
DMS-54,en,"Life is tough but so are you. Even if you don’t feel tough right now, you have survived many things in your life and you will survive this.","La vie est dure, mais vous l'êtes aussi. Même si vous ne vous sentez pas forte en ce moment, vous avez survécu à beaucoup de choses dans votre vie et vous survivrez à cette situation.",生活是艰难的，但你也是。即使你现在不觉得艰难，但你在生活中已经熬过了许多事情，你也会熬过这次。
DMS-55,en,It takes courage to keep going. Just remember that you are stronger than you believe.,Il faut du courage pour continuer. N'oubliez pas que vous êtes plus fort que vous ne le croyez.,继续前进需要勇气。只要记住，你比你相信的更强大。
DMS-56,en,"There are 7 billion people in the world, but no one can do a better job at being you.","Il y a 7 milliards de personnes dans le monde, mais personne ne peut mieux vous incarner.",世界上有70亿人，但没有人能够做得更好，成为你。
DMS-57,en,Today is a new day!,Aujourd'hui est un nouveau jour !,今天是新的一天!
DMS-58,en,You can do anything you put your mind to today; no matter what happened yesterday.,"Vous pouvez faire tout ce que vous voulez aujourd'hui, peu importe ce qui s'est passé hier.",今天你可以做任何你想做的事；不管昨天发生了什么。
DMS-59,en,Taking care of yourself makes you stronger for everyone in your life … including you.,Prendre soin de vous vous rend plus fort pour tous ceux qui font partie de votre vie ... y compris vous.,照顾好自己使你对生活中的每个人都更加强大......包括你。
DMS-60,en,"In such uncertain times, don’t count down the days, make every day count.","En ces temps incertains, ne comptez pas les jours, faites en sorte que chaque jour compte.",在这种不确定的时期，不要倒计时，让每一天都有意义。
DMS-61,en,"A daily reminder that you are loved, valued, irreplaceable, and important: to the people in your life and to the world.","Un rappel quotidien que vous êtes aimé, apprécié, irremplaçable et important : pour les personnes de votre vie et pour le monde.",每天提醒你，你是被爱的，被重视的，不可替代的，重要的：对你生命中的人和世界来说。
DMS-62,en,You have all the qualities and intelligence within you to deal with any obstacle in front of you.,Vous avez toutes les qualités et l'intelligence en vous pour faire face à tous les obstacles qui se dressent devant vous.,你内心有所有的素质和智慧，可以处理你面前的任何障碍。
DMS-63,en,"Be gentle with yourself, this is such an unprecedented time and you are handling it. We will survive this together.","Soyez doux avec vous-même, c'est un moment sans précédent et vous le gérez bien. Nous allons survivre ensemble.",对自己温柔点，这是这样一个前所未有的时刻，你正在处理它。我们将一起度过这个难关。
DMS-64,en,"If today all you did was hold yourself together, I am proud of you. You are enough.","Si aujourd'hui, vous n'avez fait que tenir bon, je suis fier de vous. Tu es suffisant.",如果今天你所做的一切是坚持自己，我为你感到骄傲。你已经足够了。
DMS-65,en,"In times like this, it is so easy to focus on the negative, but take a moment to observe the hope and love within humanity.","Dans des moments comme celui-ci, il est si facile de se concentrer sur le négatif, mais prenez un moment pour observer l'espoir et l'amour au sein de l'humanité.",在这样的时刻，人们很容易把注意力集中在消极方面，但花点时间观察一下人类内部的希望和爱。
DMS-66,en,Take a step back today. Look at all those beautiful things you have.,Prenez un peu de recul aujourd'hui. Regardez toutes ces belles choses que vous avez.,今天退一步。看看你所拥有的所有这些美丽的东西。
DMS-67,en,Relax. You are not there. You are here.,Détendez-vous. Vous n'êtes pas là. Vous êtes ici.,放松。你不在那里。你在这里。
DMS-68,en,Forgive yourself first. Don’t replay a negative situation over and over in your mind. Release it and let it go.,Pardonnez-vous d'abord à vous-même. Ne rejouez pas une situation négative encore et encore dans votre esprit. Relâchez-la et laissez-la partir.,首先原谅自己。不要在你的脑海中一遍又一遍地回放负面情况。释放它，让它过去。
DMS-69,en,"Don’t review and relive your mistakes. Don’t remind yourself of what could have been, should have been. Keep moving forward.","Ne pas revoir et revivre ses erreurs. Ne vous rappelez pas ce qui aurait pu être, ce qui aurait dû être. Allez de l'avant.",不要回顾和重温你的错误。不要提醒自己什么是可能的，什么是应该的。继续前行。
DMS-70,en,Take the lessons in life and keep growing.,Prenez les leçons de la vie et continuez à grandir.,接受生活中的教训，不断成长。
DMS-71,en,"Remember: you deserve love, respect, honesty, the best, to get better. You matter.","Rappelez-vous : vous méritez l'amour, le respect, l'honnêteté, le meilleur, pour aller mieux. Tu es important.",记住：你应该得到爱，尊重，诚实，最好的，得到更好的。你很重要。
DMS-72,en,Remember: you do not deserve to be treated like you do not matter. You matter.,Rappelez-vous : vous ne méritez pas d'être traité comme si vous ne comptiez pas. Vous êtes important.,记住：你不值得被当作不重要的人对待。你很重要。
DMS-73,en,Today I want you to think of all that you are and not all that you are not.,"Aujourd'hui, je veux que vous pensiez à tout ce que vous êtes et non à tout ce que vous n'êtes pas.",今天，我希望你能想到你的一切，而不是你的一切。
DMS-74,en,Opinions and thoughts do not necessarily define reality.,Les opinions et les pensées ne définissent pas nécessairement la réalité.,观点和想法不一定能定义现实。
DMS-75,en,Everyone’s journey is different. You are finding your own way.,Le voyage de chacun est différent. Vous trouvez votre propre chemin.,每个人的旅程都是不同的。你正在寻找你自己的方式。
DMS-76,en,You are good enough. You are smart enough. You are strong enough. You are enough.,Vous êtes assez bon. Vous êtes assez intelligent. Vous êtes assez fort. Vous êtes assez.,你足够好。你足够聪明。你足够强大。你是足够的。
DMS-77,en,"Believe in your because you are good enough, smart enough and strong enough.","Croyez en vous parce que vous êtes assez bon, assez intelligent et assez fort.",相信自己，因为你足够好，足够聪明，足够强大。
DMS-78,en,You are not your weaknesses. You are the strength that lies inside of you. Weaknesses are just undiscovered strengths.,Vous n'êtes pas vos faiblesses. Vous êtes la force qui se trouve à l'intérieur de vous. Les faiblesses ne sont que des forces non découvertes.,你不是你的弱点。你是蕴藏在你体内的力量。弱点只是未被发现的力量。
DMS-79,en,Have the courage to grow in your own way.,Ayez le courage de vous développer à votre manière.,要有勇气以自己的方式成长。
DMS-80,en,"You might think you do not matter. Because of you, there are people who remember the gifts you have shared and think of you fondly.","Vous pouvez penser que vous n'avez pas d'importance. Grâce à vous, il y a des gens qui se souviennent des cadeaux que vous avez partagés et qui pensent à vous avec affection.",你可能认为你并不重要。因为你，有一些人记得你所分享的礼物，并深情地想着你。
DMS-81,en,"If you change how you see things, you might be pleasantly surprised but what you see.","Si vous changez votre façon de voir les choses, vous pourriez être agréablement surpris par ce que vous voyez.",如果你改变你看待事物的方式，你可能会感到惊喜，但你看到的是什么。
DMS-82,en,"You are wanted,needed and loved","Vous êtes désiré, nécessaire et aimé",你被需要，被爱
DMS-83,en,Its ok to ask for help! Mental illness looks different on everyone,C'est normal de demander de l'aide ! La maladie mentale est différente pour chacun,求助是可以的!每个人的精神疾病看起来都不一样
DMS-84,en,"How could you think you are weak. Every time you break, you come back stronger than before","Comment peux-tu penser que tu es faible. Chaque fois que tu te brises, tu reviens plus fort qu'avant.",你怎么能认为你是弱者。每一次你崩溃，你都会比以前更坚强地回来。
DMS-85,en,"You are worthy, even when you don't feel like it","Vous êtes digne, même si vous n'en avez pas l'impression.",你是有价值的，即使你不觉得是这样的。
DMS-86,en,We all have our bad days but one thing is true that no cloud is so dark that the sun can't shine through,"Nous avons tous nos mauvais jours, mais une chose est vraie : aucun nuage n'est si sombre que le soleil ne puisse le traverser...",我们都有糟糕的日子，但有一点是真实的，没有乌云是如此黑暗，以至于太阳无法照耀。
DMS-87,en,You are stronger than your anxieties,Vous êtes plus fort que vos angoisses,你比你的忧虑更强大
DMS-88,en,Positive Affirmations: I will be present in every moment. I am smart. I am kind. I am brave. I am beautiful within.,Affirmations positives : Je serai présent à chaque instant. Je suis intelligent. Je suis gentil. Je suis courageux. Je suis beau à l'intérieur.,积极的肯定语。我将在每一刻都存在。我很聪明。我很善良。我是勇敢的。我的内心是美丽的。
DMS-89,en,If I follow my inner wisdom. I am at peace with my own being.,Si je suis ma sagesse intérieure. Je suis en paix avec mon propre être.,如果我遵循我内心的智慧我就能与自己的存在和平相处。
DMS-90,en,Self-care is never a selfish act. Practice it daily.,Prendre soin de soi n'est jamais un acte égoïste. Pratiquez-la quotidiennement.,自我照顾从来不是一种自私的行为。每天练习它。
DMS-91,en,"You can't control your thoughts. But you can control whether you accept them, whether they shape your reality, whether you challenge them or whether you let them go.","Vous ne pouvez pas contrôler vos pensées. Mais vous pouvez contrôler si vous les acceptez, si elles façonnent votre réalité, si vous les remettez en question ou si vous les laissez partir.",你无法控制你的想法。但你可以控制你是否接受它们，它们是否塑造了你的现实，你是否挑战它们，或者你是否让它们离开。
DMS-92,en,You are so much more than your illness.,Vous êtes tellement plus que votre maladie.,你比你的病要好得多。
DMS-93,en,You might be fighting a battle no one knows anything about. Help others understand what you are going through and ask for support.,Il se peut que vous meniez une bataille dont personne ne sait rien. Aidez les autres à comprendre ce que vous vivez et demandez du soutien.,你可能正在进行一场没有人知道的战斗。帮助别人理解你正在经历的事情，并寻求支持。
DMS-94,en,I am comfortable with my body. I am happy with my imperfections. They make me unique,Je suis à l'aise avec mon corps. Je suis heureux avec mes imperfections. Elles me rendent unique.,我对自己的身体感到舒适。我对我的不完美感到高兴。它们使我独一无二
DMS-95,en,Look in the mirror. Remind yourself of your strengths and resilience. You're doing amazing. Keep going!,Regardez dans le miroir. Rappelez-vous de vos forces et de votre résilience. Tu te débrouilles très bien. Continuez !,照照镜子。提醒自己你的优势和复原力。你做得很好。继续努力吧!
DMS-96,en,Together we are all doing something amazing.,"Ensemble, nous faisons tous quelque chose d'extraordinaire.",我们一起正在做一些令人惊奇的事情。
DMS-97,en,You are not alone. You are not a burden. Everything will be ok.,Vous n'êtes pas seul. Vous n'êtes pas un fardeau. Tout ira bien.,你并不孤单。你不是一个负担。一切都会好起来的。
DMS-98,en,It is okay to cry it out. Clouds do it all the time.,C'est normal de pleurer. Les nuages le font tout le temps.,哭出来是可以的。云一直在这样做。
DMS-99,en,Fuel your body -good food equals good mood. Plan and cook healthy meals with your family members and enjoy them together.,Alimentez votre corps - une bonne alimentation est synonyme de bonne humeur. Planifiez et préparez des repas sains avec les membres de votre famille et savourez-les ensemble.,为你的身体提供能量-好的食物等于好的心情。与你的家庭成员一起计划和做健康的饭菜，并一起享受它们。
DMS-100,en,"It is never easy and it is never over. It is a renewed fight each morning. But if we fight together, we might win.","Ce n'est jamais facile et ce n'est jamais fini. C'est un combat renouvelé chaque matin. Mais si nous nous battons ensemble, nous pouvons gagner.",这从来不是一件容易的事，也永远不会结束。每天早上都是一场新的战斗。但是如果我们一起战斗，我们可能会赢。
DMS-101,en,Delete what has happened and back up what could be good.,Effacez ce qui s'est passé et sauvegardez ce qui pourrait être bon.,删除已经发生的事情，备份可能是好的事情。
DMS-102,en,You are loved.,Vous êtes aimé.,你是被爱的。
DMS-103,en,Start a hobby that makes you happy. Something that you enjoy can motivate you out of bad days.,Commencez un passe-temps qui vous rend heureux. Quelque chose que vous aimez peut vous motiver à sortir des mauvais jours.,开始一个让你快乐的爱好。你喜欢的东西可以激励你走出糟糕的日子。
DMS-104,en,These are tough times. This is not a contest on productivity. Take a break and relax yourself.,Les temps sont durs. Il ne s'agit pas d'un concours de productivité. Faites une pause et détendez-vous.,现在是艰难的时期。这不是一场关于生产力的竞赛。休息一下，放松一下自己。
DMS-105,en,Self-worth affirmation: I believe in myself. My growth is a continuous process. I am grateful for all the amazing things in my life. I love and accept myself for who I am.,Affirmation de l'estime de soi : Je crois en moi. Ma croissance est un processus continu. Je suis reconnaissant(e) pour toutes les choses extraordinaires que j'ai dans ma vie. Je m'aime et je m'accepte tel que je suis.,自我价值的肯定。我相信自己。我的成长是一个持续的过程。我对我生命中所有令人惊奇的事情心存感激。我爱并接受我自己，因为我是谁。
DMS-106,en,Watch a sunrise or a sunset. Its nature's way of reassuring us about beautiful beginnings and endings.,Regardez un lever ou un coucher de soleil. C'est la façon dont la nature nous rassure sur les beaux commencements et les belles fins.,观看日出或日落。这是大自然向我们保证美丽的开始和结束的方式。
DMS-107,en,Focus on being better than you were yesterday. You have got this!,Concentrez-vous pour être meilleur que vous ne l'étiez hier. Vous y arriverez !,专注于比昨天做得更好。你有这个能力!
DMS-108,en,"Be kind to yourself. Today, tomorrow and every single day.","Soyez gentil avec vous-même. Aujourd'hui, demain et chaque jour.",对自己好一点。今天、明天和每一天。
DMS-109,en,It doesn't matter which road you take. As long as you are happy with it.,Peu importe la route que vous prenez. Tant que vous êtes heureux avec elle.,你走哪条路并不重要。只要你满意就可以了。
DMS-110,en,"And if today all you did was hold yourself together, I am proud of you.","Et si aujourd'hui, tout ce que vous avez fait, c'est de tenir bon, je suis fier de vous.",如果今天你所做的一切是坚持自己，我为你感到骄傲。
DMS-111,en,"Communicate, even when it is tough or uneasy. Communication is the best way to help yourself and help others.","Communiquez, même lorsque c'est difficile ou malaisé. La communication est le meilleur moyen de s'aider soi-même et d'aider les autres.",沟通，即使是在困难或不安的时候。沟通是帮助自己和帮助他人的最好方式。
DMS-112,en,"Connection and closeness with others is more than physical proximity. It is about feeling heard, seen, and cared for.","La connexion et la proximité avec les autres ne se limitent pas à la proximité physique. Il s'agit de se sentir entendu, vu et pris en charge.",与他人的联系和亲近不仅仅是身体上的接近。它是关于感觉到被倾听、被看到和被关心。
DMS-113,en,Your current and past struggles do not define you; they are opportunities for you to become stronger and grow.,Vos luttes actuelles et passées ne vous définissent pas ; elles sont des opportunités pour vous de devenir plus fort et de grandir.,你目前和过去的挣扎并不能定义你；它们是你变得更强大和成长的机会。
DMS-114,en,Take this rare down time at home to explore and learn more about yourself and what you need.,Profitez de ce rare temps d'arrêt à la maison pour explorer et en apprendre davantage sur vous-même et sur ce dont vous avez besoin.,利用这段难得的在家休息时间，探索和了解更多关于自己和自己需要什么。
DMS-115,en,"The best or right path is not always the one of least resistance, so continue to persevere and you will reap all the benefits of your hard work and sacrifices soon.","Le meilleur ou le bon chemin n'est pas toujours celui de la moindre résistance, alors continuez à persévérer et vous récolterez bientôt tous les fruits de votre travail et de vos sacrifices.",最好的或正确的道路并不总是阻力最小的那条，所以继续坚持下去，你将很快收获你的努力工作和牺牲的所有好处。
DMS-116,en,"It may seen unfair that so many unfortunate events happen when you do everything tight, but all those good qualities and actions are going to help you recover from this difficult time.","Il peut sembler injuste que tant d'événements malheureux se produisent alors que vous faites tout ce qu'il faut, mais toutes ces bonnes qualités et actions vont vous aider à vous remettre de cette période difficile.",当你做任何事情都很紧张的时候，却发生了这么多不幸的事情，这可能会让人觉得不公平，但所有这些好的品质和行动都会帮助你从这个困难时期恢复过来。
DMS-117,en,"No matter what anyone says, you matter to so many people.","Peu importe ce qu'on dit, tu comptes pour beaucoup de gens.",不管别人怎么说，你对很多人都很重要。
DMS-118,en,Seeking help when you need it can benefit both sides. You can help make each other's day a little better.,Demander de l'aide lorsque vous en avez besoin peut être bénéfique pour les deux parties. Vous pouvez contribuer à rendre la journée de l'autre un peu meilleure.,在你需要的时候寻求帮助，对双方都有好处。你们可以帮助对方把日子过得更好一点。
DMS-119,en,Everyday list 10 things you are grateful for. It can help you feel more hopeful and excited about life.,"Chaque jour, énumérez 10 choses pour lesquelles vous êtes reconnaissant. Cela peut vous aider à vous sentir plus optimiste et plus enthousiaste face à la vie.",每天列出10件你所感激的事情。它可以帮助你对生活感到更有希望和兴奋。
DMS-120,en,Asking for help is not a sign of weakness because reaching out is acknowledging your limits. It takes maturity andstrength to learn and know your limits.,"Demander de l'aide n'est pas un signe de faiblesse car tendre la main, c'est reconnaître ses limites. Il faut de la maturité et de la force pour apprendre et connaître ses limites.",寻求帮助并不是软弱的表现，因为伸出援手就是承认自己的极限。学习和了解自己的极限需要成熟和坚强。
DMS-121,en,Creating a list of duties can help ground you and feel less overwhelmed by life's respinsibilities.,La création d'une liste de tâches peut vous aider à vous ancrer et à vous sentir moins accablé par les responsabilités de la vie.,建立一个职责清单可以帮助你接地气，让你不至于被生活中的责任压垮。
DMS-122,en,Checking in and catching up with friends can help their mental health and yours. Fostering relationships are rewarding for all of those involved.,Prendre des nouvelles de ses amis peut améliorer leur santé mentale et la vôtre. Favoriser les relations est gratifiant pour toutes les personnes concernées.,与朋友打招呼和叙旧可以帮助他们和你的心理健康。培养关系对所有参与的人来说都是有益的。
DMS-123,en,Dedicate a period of time to unplug from your devices. It can help you enjoy and appreciate the world more since so much negative eents and stories are constantly being highlighted.,"Consacrez une période de temps pour vous débrancher de vos appareils. Cela peut vous aider à mieux apprécier le monde, car tant d'événements et d'histoires négatives sont constamment mis en avant.",专门抽出一段时间，从你的设备上拔掉插头。它可以帮助你更多地享受和欣赏这个世界，因为这么多的负面信息和故事不断被强调。
DMS-124,en,Know that it's okay to feel low and high from time to time. It is a sign of being human.,Sachez qu'il n'y a rien de mal à ressentir des hauts et des bas de temps en temps. C'est un signe d'humanité.,要知道，不时地感到低落和高涨是可以的。这是做人的一个标志。
DMS-125,en,Take time to recognize what you are feeling. There does not always have to e a reason for feeling the way you do.,Prenez le temps de reconnaître ce que vous ressentez. Il n'est pas toujours nécessaire d'avoir une raison pour ressentir ce que vous ressentez.,花点时间认识你的感受。你的感觉并不总是有原因的。
DMS-126,en,Validating your feelings can be the first step to overcoming them and preventing your feelings from controlling you.,La validation de vos sentiments peut être la première étape pour les surmonter et empêcher vos sentiments de vous contrôler.,验证你的感受可以是克服它们和防止你的感受控制你的第一步。
